address,number,municipality,latitude,longitude,id,postal_code,province
Bergscheid ,5,Raeren,50.673440400000004,6.115703656431524,4317.0,4730.0,Liège
Lichtenbuscher Strasse ,24,Eynatten,50.69224535,6.085538300142037,4318.0,4731.0,Liège
Rue Hameau de Husquet ,119,Dison,50.6057434,5.839444,4319.0,4820.0,Liège
Rue des dominicains,13,Mons,50.4569087,3.9503044,4321.0,7000.0,Hainaut
Rue des Carrosses ,15,Habay-la-Neuve,49.7346823,5.6528094,4322.0,6720.0,Luxembourg
Rue du Wayaux,7,Ramillies,50.63735285,4.917012346905112,4323.0,1367.0,Brabant Wallon
Tiensestraat,42,Hoegaarden,50.7767803,4.893063462450211,4324.0,3320.0,Vlaams-Brabant
Kerkstraat,19,Outgaarden,50.76619625,4.919836155639953,4325.0,3321.0,Vlaams-Brabant
Sint-Ermelindisstraat ,11,Meldert,50.7886403,4.838020313377907,4327.0,3320.0,Vlaams-Brabant
Fabrieksstraat ,144,Overpelt,51.236027750000005,5.393119847433419,4328.0,3900.0,Limburg
Rue de Brombais ,2,Incourt,50.69214685,4.798623460427351,4329.0,1315.0,Brabant Wallon
Rue de l Avedelle ,173,Ecaussinnes,50.5599749,4.1740073,4330.0,7190.0,Hainaut
Grand-Place ,32,Perwez,50.62346025,4.8147311757994204,4331.0,1360.0,Brabant Wallon
Vordensteinstraat,76,Schoten,51.2533471,4.4930774,4332.0,2900.0,Antwerpen
Eksterdreef ,6,Schoten,51.2639612,4.507204886319054,4333.0,2900.0,Antwerpen
Avenue de Marathon ,1,Bruxelles,50.892808450000004,4.336491547888232,4334.0,1020.0,Bruxelles-Brussel
Place Ernest Dubois,1,Grez-Doiceau,50.7385983,4.6961556,4335.0,1390.0,Brabant Wallon
Rue Salvador Allende,144,Havré,50.4569647,4.0447143,4337.0,7021.0,Hainaut
Rue Douffet ,36,Liège,50.6357763,5.5846746,4339.0,4020.0,Liège
Rue du Baillois,6,Rixensart,50.709631900000005,4.506288786458737,4340.0,1330.0,Brabant Wallon
Chaussée de Huy ,383,Chaumont-Gistoux,50.663981750000005,4.7370890562881005,4341.0,1325.0,Brabant Wallon
Grote Markt ,54,Kortrijk,50.8281745,3.2640799684481308,4344.0,8500.0,West-Vlaanderen
Leiestraat ,30,Kortrijk,50.8289496,3.2649581,4345.0,8500.0,West-Vlaanderen
Schouwburgplein ,14,Kortrijk,50.826252600000004,3.2657239344983604,4346.0,8500.0,West-Vlaanderen
Moorseelsestraat,144,Heule,50.8341868,3.246329639989871,4347.0,8501.0,West-Vlaanderen
Heulsestraat,82,Bissegem,50.827747450000004,3.232291875566913,4349.0,8501.0,West-Vlaanderen
Rollegemkerkstraat ,67,Rollegem,50.7666847,3.2574988657960344,4350.0,8510.0,West-Vlaanderen
Jakob Vandervaetstraat,77,Kortrijk,50.83647835,3.2544686713479796,4351.0,8500.0,West-Vlaanderen
Moeskroensesteenweg ,136,Aalbeke,50.776883749999996,3.227152488611623,4353.0,8511.0,West-Vlaanderen
Stadionstraat ,0,Bellegem,50.7770609,3.2904597,4354.0,8510.0,West-Vlaanderen
Vlaswaagplein ,3,Bissegem,50.8252964,3.224518503358939,4355.0,8501.0,West-Vlaanderen
Aalbekeplaats ,0,Aalbeke,50.7790876,3.2293276,4357.0,8511.0,West-Vlaanderen
Lagaeplein,24,Heule,50.84531015,3.237024493921539,4358.0,8501.0,West-Vlaanderen
Processiestraat ,6,Bellegem,50.7783751,3.2810322,4359.0,8510.0,West-Vlaanderen
Rue Théophile Delbar,33,Waterloo,50.7165011,4.394515583401267,4360.0,1410.0,Brabant Wallon
Koutermanstraat ,2,Alken,50.8761882,5.3142379,4361.0,3570.0,Limburg
Rue du Monument,0,Chapelle-lez-Herlaimont,50.468155,4.281662,4362.0,7160.0,Hainaut
Avenue du Castillon,471,Chastre,50.6086412,4.637676,4363.0,1450.0,Brabant Wallon
Rue de Namur,2,Liège,50.587784799999994,5.858665102558577,4366.0,4000.0,Liège
Rue des Guillemins,26,Liège,50.6295599,5.5680035,4367.0,4000.0,Liège
Rue des Guillemins ,26,Liège,50.6295599,5.5680035,4368.0,4000.0,Liège
Rue du Moulin,1,Ottignies,50.665710250000004,4.567921630351659,4369.0,1340.0,Brabant Wallon
Paul Orbanpromenade ,8,Nieuwpoort,51.1485263,2.7287728709541605,4370.0,8620.0,West-Vlaanderen
Brugse Steenweg ,9,Nieuwpoort,51.133122900000004,2.762259356451851,4371.0,8620.0,West-Vlaanderen
Spaarbekken ,2,Nieuwpoort,51.1362152,2.7717584,4372.0,8620.0,West-Vlaanderen
Sportlaan ,1,Liedekerke,50.86520365,4.079266157445015,4373.0,1770.0,Vlaams-Brabant
Grote Steenweg ,304,Lede,50.954143650000006,3.919065053660062,4374.0,9340.0,Oost-Vlaanderen
Veldloopstraat ,11,Waregem,50.8847138,3.4482715,4375.0,8790.0,West-Vlaanderen
Pathoekeweg ,58,Brugge,51.22893785,3.214823594304512,4377.0,8000.0,West-Vlaanderen
Zuidbroekstraat ,12,Woumen,50.9957197,2.8611896894099367,4378.0,8600.0,West-Vlaanderen
Koning Boudewijnlaan ,15,Blankenberge,51.3097869,3.141090127718175,4379.0,8370.0,West-Vlaanderen
Nijverheidsstraat ,112,Assebroek,51.2050478,3.2432531122278236,4380.0,8310.0,West-Vlaanderen
Nijverheidsstraat,112,Assebroek,51.2050478,3.2432531122278236,4381.0,8310.0,West-Vlaanderen
Zuiderlaan ,14,Gent,51.0485067,3.6924293,4383.0,9000.0,Oost-Vlaanderen
Gouverneur Verwilghensingel,13,Hasselt,50.93621395,5.3544296466224655,4384.0,3500.0,Limburg
