id,address,number,postal_code,municipality,province
9835.0,Bertha De Vriesestraat,2.0,9052.0,Zwijnaarde,Oost-Vlaanderen
9839.0,Rue Crufer ,8.0,4970.0,Stavelot,Liège
9840.0,Rue Les creûhètes ,5.0,6941.0,Izier,Luxembourg
9841.0,Woodrow Wilsonplein,2.0,9000.0,Gent,Oost-Vlaanderen
9842.0,Gouvernementstraat,1.0,9000.0,Gent,Oost-Vlaanderen
9844.0,Chaussée de Charleroi,112.0,1060.0,Bruxelles,Bruxelles-Brussel
9845.0,Route de Saint Hubert,1.0,6800.0,Recogne,Luxembourg
9846.0,Route de Saint Hubert,1.0,6800.0,Recogne,Luxembourg
9847.0,Industrielaan,41.0,2250.0,Olen,Antwerpen
9848.0,Dokter Eduard Moreauxlaan,,8400.0,Oostende,West-Vlaanderen
9849.0,Noorderlaan,500.0,2030.0,Antwerpen,Antwerpen
9850.0,Puttestraat,15.0,2490.0,Balen,Antwerpen
9851.0,Rue de Tilice ,11.0,4458.0,Slins,Liège
9852.0,Avenue des Gaulois,34.0,1040.0,Bruxelles,Bruxelles-Brussel
9853.0,Rue du Progrès,4.0,1400.0,Nivelles,Brabant Wallon
9854.0,Boucle Odon Godart,7.0,1348.0,Louvain-la-Neuve,Brabant Wallon
9855.0,Rue Louis Blériot,1.0,4460.0,Bierset,Liège
9856.0,Baahnhofstraat,,8210.0,Loppem,West-Vlaanderen
9857.0,Rue Bruel,,1130.0,Bruxelles,Bruxelles-Brussel
9858.0,Schaerbeekstraat,,9120.0,Melsele,Oost-Vlaanderen
9859.0,Kortrijkesteenweg,148.0,9830.0,Sint-Martens-Latem,Oost-Vlaanderen
9860.0,Gareelmakersstraat,23.0,2200.0,Herentals,Antwerpen
9861.0,André Dumontlaan,31.0,3600.0,Genk,Limburg
9862.0,Egide Walschaertsstraat,14.0,2800.0,Mechelen,Antwerpen
9863.0,Antwerpseweg,226.0,2340.0,Vlimmeren,Antwerpen
9864.0,Wingepark,5.0,3110.0,Rotselaar,Vlaams-Brabant
9865.0,Dokter van der Borghstraat,2.0,2590.0,Berlaar,Antwerpen
9866.0,Machelen cargo 758,758.0,1931.0,Brucargo,Vlaams-Brabant
9867.0,Machelen Cargo 703,703.0,1931.0,Brucargo,Vlaams-Brabant
9868.0,Nieuwe Baan,14.0,9120.0,Vrasene,Oost-Vlaanderen
9869.0,Gemeenteplein,1.0,1861.0,Wolvertem,Vlaams-Brabant
9870.0,Diestsestraat,165.0,3000.0,Leuven,Vlaams-Brabant
9871.0,Polderstraat,158.0,8670.0,Koksijde,West-Vlaanderen
9872.0,Legen Heiweg ,7.0,9890.0,Gavere,Oost-Vlaanderen
9873.0,Rue des combattants,1.0,6280.0,Acoz,Hainaut
9874.0,Regentschapsstraat			,54.0,1000.0,Brussel,Bruxelles-Brussel
9875.0,Handelsstraat,96.0,1040.0,Brussel,Bruxelles-Brussel
9876.0,Bergemeersenstraat,106.0,9300.0,Aalst,Oost-Vlaanderen
9877.0,Antwerpsesteenweg,136.0,2630.0,Aartselaar,Antwerpen
9878.0,Dorpsplaats,1.0,2390.0,Malle,Antwerpen
9879.0,Veldstraat,77.0,2960.0,Brecht,Antwerpen
9880.0,Moerkantsebaan,287.0,2910.0,Essen,Antwerpen
9881.0,Sint Janstraat,87.0,2910.0,Essen,Antwerpen
9882.0,Dreveneind,2.0,2910.0,Essen,Antwerpen
9883.0,Nollekensstraat,5.0,2910.0,Essen,Antwerpen
9884.0,Kapelstraat,7.0,2910.0,Essen,Antwerpen
9885.0,Moerkansebaan,34.0,2910.0,Essen,Antwerpen
9886.0,Ieperstraat,5.0,2200.0,Herentals,Antwerpen
9887.0,Da Vincilaan (Buiding Bayreuth),3.0,1930.0,Zaventem,Vlaams-Brabant
9888.0,Bruggestraat,23.0,8820.0,Torhout,West-Vlaanderen
9889.0,Pastoor Staelensstraat,4.0,8210.0,Zedelgem,West-Vlaanderen
9890.0,Avenue Nusbaum,21.0,4141.0,Banneux,Liège
9891.0,dreve de maison bois,2.0,4802.0,Heusy,Liège
9892.0,Jean Tousseul,19.0,5300.0,Landenne,Namur
9893.0,Quai Mativa,43.0,4020.0,Liège,Liège
9894.0,Rue du Pensionnat,7.0,4837.0,Membach,Liège
9895.0,Rue Jean Verkruyts ,23.0,4681.0,Hermalle-sous-Argenteau,Liège
9896.0,Rue de Landen,29.0,4287.0,Racour,Liège
9897.0,Rue des Fawes,58.0,4141.0,Louveigné,Liège
9898.0,Avenue de l Expansion,20.0,4432.0,Alleur,Liège
9899.0,Gettendonkstraat,1.0,3980.0,Tessenderlo,Limburg
9900.0,Jagersweg,1.0,3980.0,Tessenderlo,Limburg
9901.0,Kapelstraat,40.0,2550.0,Kontich,Antwerpen
9902.0,Industrieweg,38.0,2280.0,Grobbendonk,Antwerpen
9903.0,Stationsstraat,21.0,3920.0,Lommel,Limburg
9904.0,Antwerpsebaan,150.0,2040.0,Antwerpen,Antwerpen
9905.0,Delacenseriestraat,1.0,2018.0,Antwerpen,Antwerpen
9906.0,Kasteelstraat,28.0,8870.0,Izegem,West-Vlaanderen
9907.0,Chemin des sages,4.0,1348.0,Louvain-la-Neuve,Brabant Wallon
9908.0,Route de Blocry,5.0,1348.0,Louvain-la-Neuve,Brabant Wallon
9909.0,Avenue Athéna,4.0,1348.0,Louvain-la-Neuve,Brabant Wallon
9910.0,Kerkplaats,7.0,2990.0,Wuustwezel,Antwerpen
9911.0,Kortrijksesteenweg,321.0,8530.0,Harelbeke,West-Vlaanderen
9912.0,Dorp,37.0,9290.0,Berlare,Oost-Vlaanderen
9913.0,Veerstraat,38.0,9290.0,Berlare,Oost-Vlaanderen
9914.0,Molenstraat,,9290.0,Berlare,Oost-Vlaanderen
9915.0,Donklaan,125.0,9290.0,Berlare,Oost-Vlaanderen
9916.0,Dorp,22.0,9290.0,Berlare,Oost-Vlaanderen
9917.0,dorp,101.0,9290.0,Berlare,Oost-Vlaanderen
9918.0,Route du Lac de Warfa,,4845.0,Jalhay,Liège
9919.0,Stationsstraat,53.0,3110.0,Rotselaar,Vlaams-Brabant
9920.0,Rue Dubois-Thon,103.0,1080.0,Bruxelles,Bruxelles-Brussel
9921.0,Rue Dubois-Thon,103.0,1080.0,Bruxelles,Bruxelles-Brussel
9922.0,Rue Dubois-Thon,103.0,1080.0,Bruxelles,Bruxelles-Brussel
