id,address,number,municipality,latitude,longitude,postal_code,province
1745.0,Kwatrechtsteenweg,160,Wetteren,50.9932778,3.8415971398117015,9230.0,Oost-Vlaanderen
1746.0,Rue de Cognebeau,46,Soignies,50.5743761,4.0616608,7060.0,Hainaut
1748.0,Place de Belle-Maison,2,Marchin,50.480568000000005,5.2259082085637925,4570.0,Liège
1749.0,Rue de France,0,Musson,49.5548745,5.6907448,6750.0,Luxembourg
1750.0,Maastrichtersteenweg,441,Tongeren,50.78932485,5.513333145573805,3700.0,Limburg
1751.0,Mechelsesteenweg,455,Kraainem,50.8318651,4.4853759,1950.0,Vlaams-Brabant
1752.0,Machelenstraat,169,Deinze,50.9746602,3.511284148561974,9800.0,Oost-Vlaanderen
1753.0,Parklaan,3,Ninove,50.82978995,4.020194277879383,9400.0,Oost-Vlaanderen
1755.0,Route de Paliseul,18,Bouillon,49.802945050000005,5.073690875516281,6830.0,Luxembourg
1760.0,Av. E. Van Nieuwenhuyse,2,Bruxelles,,,1160.0,Bruxelles-Brussel
1761.0,Av. E. Van Nieuwenhuyse,2,Bruxelles,,,1160.0,Bruxelles-Brussel
1762.0,Av. E. Van Nieuwenhuyse,2,Bruxelles,,,1160.0,Bruxelles-Brussel
1763.0,Battelsesteenweg,315,Mechelen,51.03259425,4.456983197080859,2800.0,Antwerpen
1764.0,Mechelsesteenweg,586,Vilvoorde,50.943591299999994,4.443790009909023,1800.0,Vlaams-Brabant
1765.0,Mechelsesteenweg,586,Vilvoorde,50.943591299999994,4.443790009909023,1800.0,Vlaams-Brabant
1766.0,Rue de la Brasserie,4,Purnode,50.3112826,4.944263618532086,5530.0,Namur
1767.0,Van Frachenlaan,0,Steenokkerzeel,50.9157782,4.5059257,1820.0,Vlaams-Brabant
1768.0,Orchideeënlaan,19,STEENOKKERZEEL,50.920615850000004,4.504384884038851,1820.0,Vlaams-Brabant
1769.0,Vanheylenstraat,0,STEENOKKERZEEL,50.9175196,4.4767127,1820.0,Vlaams-Brabant
1770.0,Rue Maïeur Habils,177,BIERGHES,,,1430.0,Brabant Wallon
1771.0,Chaussée de Mons à Gand,0,Lessines,,,7860.0,Hainaut
